Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0,0,0,0,0,0,0,0,0,0,T,0
2,0,0,0,0,0,0,0,0,0,0,4,0
3,0,0,0,0,1.5,0,0,0,0,0,1,0
4,2,11,1.5,0,0,0,0,0,0,0,0,0
5,T,4.5,4,0,2,0,0,0,0,0,0,0
6,2,6,0,0,0,0,0,0,0,0,0,0
7,0,T,0,0.5,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,T
10,0,T,7,0,2,0,0,0,0,0,0.5,5
11,0,0.6,1,0,2,0,0,0,0,0,4,0.5
12,0,T,0,0,3,0,0,0,0,0,2.5,0
13,0,9,0,0,0,0,0,0,0,4,0,0
14,T,2,10.5,0,0,0,0,0,0,T,0,0
15,0,T,7,0,0,0,0,0,0,3,0,T
16,1.7,2.7,1,9,0,0,0,0,0,T,0,5.5
17,T,0.5,2.5,0,0,0,0,0,0,0,3,1
18,4.8,2,0,0,0,0,0,0,0,0,0,1
19,T,T,0,0,0,0,0,0,T,0,0,T
20,0,0.3,0,6,0,0,0,0,0,T,0,0
21,0,1.7,6.5,0,0,0,0,0,0,0,3,0
22,T,0.4,5.5,0.5,0,0,0,0,0,0,0,0
23,T,0,0,6,0,0,0,0,0,0,0,0
24,T,0,0.7,0.5,0,0,0,0,0,4,4,8.5
25,0,0,0,0,0,0,0,0,0,0,1,5.5
26,0,0,2.5,0,0,0,0,0,0,0,0,0
27,2,1,0.8,0,0,0,0,0,0,1,0,9
28,0,2,0,4,0,0,0,0,0,1,0,2.5
29,0,M,0,0,0,0,0,0,0,0,0,6
30,1,-,5.4,0,0,0,0,0,0,0,0,2
31,2,-,0,-,0,-,0,0,-,0,-,T